,,,
GAP,GAP,GAP,
NOT COVERED,BY RIGHT,AND NOT COVERED BY CENTRE,
Costa cappuccinos deliver nearly five times as much caffeine as Starbucks ones,"Which? study reveals huge disparity in the amount of caffeine delivered by high street coffee chains. Coffee lovers looking for a strong pick-me-up should avoid Starbucks and head to Costa, after it emerged its cappuccinos deliver almost five times as much caffeine – the same as four cans of Red Bull. -----------------------------1Buyers of a Costa medium cappuccino get three shots of espresso and a table-topping 325mg of caffeine, which is around the same as four cups of tea, and way above the Starbucks equivalent containing just 66mg. -----------------------------2The study by the consumer group Which? has revealed the extraordinary disparity in the amount of caffeine delivered by high street coffee chains. It said many of us could be consuming significantly more, or less, caffeine than we thought. -----------------------------3While the three-shot Costa cappuccino was the clear choice for caffeine junkies, Greggs and Pret a Manger delivered the second- and third-highest cappuccino caffeine levels, at 197mg and 180mg respectively. In comparison, a 250ml can of Red Bull – the drink of choice to sleep-deprived teenagers – contains about 80mg of caffeine. -----------------------------4For those looking to lower their caffeine intake, however, an increasingly common stance, the study found a clear “winner” on the high street – Starbucks. It might not wake you up, but its medium cappuccino contains a relatively low 66mg of caffeine, while its espresso contained half that. -----------------------------5“I think coffee is still functionally about caffeine and I feel like for the world’s most popular psychoactive drug, most people have no idea how much they’re taking,” said James Hoffmann, coffee expert and winner of the World Barista Championship in 2007. “I’m not sure that’s a good thing for any sort of supplement that you might want to use.” -----------------------------6The Which? research found that a single espresso from Pret a Manger offered the biggest hit – 180mg of caffeine. Pret’s filter coffee also contained the most caffeine at 271mg, two-and-a-half times as much as the Starbucks version. -----------------------------7Caffè Nero had the second lowest levels of caffeine after Starbucks in both the cappuccino, (110-115mg) and espresso (45mg) categories. The US Food and Drug Administration considers 400mg a safe amount of caffeine for healthy adults to consume daily. -----------------------------8Levi Tyrell Johnson, 28, regularly buys cappuccinos from Pret because of how convenient he finds it. “I’ve got a Pret subscription, so it is ease of use for me,” he said. “There’s one everywhere. Because I drink so much coffee on the go, it’s easier to pay a flat monthly fee than grabbing one every day. -----------------------------9“I like strong coffee and this is my closest coffee shop. I probably need more caffeine, I’ve got quite a high energy job so I need to stay alert and active for as long as possible, so I don’t mind the difference.” -----------------------------10Shefalee Loth, Which? nutritionist, said: “Many of us rely on coffee to get us through the dark winter mornings, but our research shows you may be consuming significantly more, or less, caffeine than you bargained for.” -----------------------------11Loth said people who were sensitive to caffeine, or needed to avoid it for health reasons, such as being pregnant, may want to request fewer shots in the drink when ordering. -----------------------------12Zoe Parker, 27, said she was really surprised by the difference in caffeine levels between the chains. She had ordered a caramel frappe from Costa Coffee. “I’m actually shocked,” she said. “I don’t drink much caffeine in general so now I feel even more surprised because I thought one coffee would be fine. -----------------------------13“I prefer Costa to Starbucks, so I’d probably still go to a Costa over a Starbucks,” Parker added. “Because I drink coffee so rarely, I would still feel fine having a Costa coffee. If I was drinking it all the time, then it might change my mind. I might go for a Starbucks instead occasionally.” -----------------------------14after newsletter promotion -----------------------------15Laurens Dekker, 25, said he would be more thoughtful about where he bought his coffee in the future as he tried to limit his caffeine consumption. “I’ve cut down a lot to just one a day,” he said. “I used to have six to eight cups. It’s just too much. -----------------------------16“I had no idea that there was that big a difference. I thought coffee was just coffee, but maybe I’ll start thinking about it now.” -----------------------------17Hoffmann said that, regardless of the caffeine content, people tended to have a favourite and knowing the caffeine content might not change their order. -----------------------------18“If someone really enjoys Starbucks, they probably won’t enjoy Costa and probably won’t enjoy Caffè Nero, for example. You have your preference … I think coffee can be delicious and very enjoyable, even when it doesn’t have caffeine in it, but I can’t deny that we all have a kind of caffeine based relationship with it.” -----------------------------19Most of the coffees in the chains Which? looked at feature at least two shots of espresso. Which? said another factor that could affect caffeine content was the variety of coffee beans, with arabica beans containing about half the caffeine of robusta beans. -----------------------------20A Costa Coffee spokesperson said the caffeine content of its drinks was clearly displayed in its stores and on its website, and it would “encourage customers to be aware of the caffeine content”. -----------------------------21“All Costa coffees can be enjoyed with decaf coffee and we offer a wide range of non-caffeinated drinks,” they added. -----------------------------22",https://www.theguardian.com/food/2023/feb/01/costa-cappuccino-nearly-five-times-caffeine-as-starbucks,
"Greggs, Costa, and Pret coffees have 'huge differences in caffeine', says Which?","Cappuccinos and espressos from major high street coffee chains have been compared to show which ones are a lot stronger than othersGreggs, Costa, Pret and other high street coffee chains offer ""huge differences"" in the amount of caffeine in each cup, leaving customers with little idea how much they are consuming, a study has found. A medium cappuccino at Costa contains a ""massive"" 325mg of caffeine - around the amount contained in four cups of tea - and is almost five times the strength of a cappuccino from Starbucks, which contains the least at 66mg, consumer watchdog Which? found. Cappuccinos from Greggs and Pret a Manger also contain significantly less caffeine than Costa, as 197mg and 180mg respectively. By comparison, a 250ml can of Red Bull contains 80mg of caffeine.   A single espresso from Pret a Manger contains 180mg of caffeine - six times as much as one from Starbucks, which had a ""meagre"" 33mg by comparison, according to the watchdog's findings. Meanwhile, Pret a Manger's filter coffee also contained the most caffeine at 271mg - two and a half times as much as the Starbucks version, which contained 102mg. Greggs was a close second to Pret for its caffeine levels, containing 225mg in a cup of filter coffee. Caffè Nero had the second lowest levels of caffeine after Starbucks in both its cappuccinos – containing between 110mg and 115mg – and its espresso, with 45mg. The variations are not only due to the number of caffeine shots used across the chains but also the type of coffee bean, of which there are two main types – Arabica and Robusta.  Arabica beans contain around half the caffeine of Robusta beans, and there are also variations in taste between the two. However, the findings show buying coffee on the high street could be potentially problematic for consumers who are sensitive to caffeine, or are pregnant.  The NHS says pregnant women should consume no more than 200mg of caffeine per day, advising that a mug of instant coffee contains 100mg and a mug of filter coffee contains 140mg.  Which? nutritionist Shefalee Loth said: ""Many of us rely on coffee to get us through the dark winter mornings, but our research shows you may be consuming significantly more, or less, caffeine than you bargained for. ""Our analysis has shown that there are big variations in caffeine content between drinks from different high-street coffee shops. ""Most of the time this shouldn't be an issue but if you drink a lot of coffee or need to limit your caffeine intake you might want to consider what you're ordering and where from.""  A Costa Coffee spokeswoman said: ""The amount of caffeine included within each coffee varies, depending on both the coffee and size of drink ordered by a customer. ""All Costa coffees can be enjoyed with decaf coffee and we offer a wide range of non-caffeinated drinks including the FuzeTea Superfuzions range. ""All caffeine information is available both in our store or via our website and we would encourage customers to be aware of the caffeine content in their favourite Costa coffee to ensure it is right for their dietary requirements or lifestyle choice."" Pret a Manger declined to comment. ",https://www.mirror.co.uk/money/greggs-costa-pret-coffees-huge-29097549,
FOUND IN RIGHT,,https://www.thesun.co.uk/money/21234239/costa-starbucks-greggs-nero-caffeine-revealed/,https://www.theguardian.com/business/live/2022/dec/23/uk-strikes-border-force-airports-postal-workers-trains-rail-business-live
GAP,GAP,GAP,
NOT COVERED,BY RIGHT,AND NOT COVERED BY CENTRE,
"Tesco announces huge change to all supermarkets with more than 2,000 jobs at risk","Tesco did not confirm the exact amount of deli and counter staff who will be affected by the closures at the end of next monthsTesco has announced a huge series of changes across its supermarkets that will impact around 2,100 jobs. The supermarket is to shake up its shop management roles and shut remaining counters and hot delis, on top of other measures. The counters and hot delis will close from February 26.  Tesco said all affected workers will be offered different roles within the company. However, it did not confirm the exact number of staff who work on the hot food delis and counters. Tesco also confirmed today that it will reduce the number of lead and team managers in its larger stores. The shake-up of its management structure will impact around 1,750 workers, while 350 workers will be affected by a series of localised changes. This include the closure of eight pharmacies and reduced hours at some in-store post offices.    Tesco will also remove a number of head office roles and will close the its Maintenance National Operating Centre in Milton Keynes. Again, workers will have the option to move into other vacancies across the business, the supermarket confirmed. Tesco said it will introduce around 1,800 new shift leader roles across its stores who will lead day-to-day operations. These roles will be lower paid, but managers who take the jobs will have their pay protected for two years. Jason Tarry, Tesco UK and ROI CEO said: “These are difficult decisions to make, but they are necessary to ensure we remain focused on delivering value for our customers wherever we can, as well as ensuring our store offer reflects what our customers value the most. ""Our priority is to support those colleagues impacted and help find alternative roles within our business from the vacancies and newly created roles we have available.”  Tesco first announced changes to its counters back in 2019, and says it has been reviewing them on an ""ongoing basis"" ever since. The majority of stores do not have fresh food counters as last year Tesco closed meat, fish and deli counters in more than 300 of its stores.  Reports from December 2022 said the store would axe a further 279 food counters at the beginning of this year.  In its release, the supermarket said it would continue to work with third parties to offer a counter experience in-store where it can.  ",https://www.mirror.co.uk/money/breaking-tesco-axe-food-counters-29092195,https://www.theguardian.com/business/live/2022/dec/23/uk-strikes-border-force-airports-postal-workers-trains-rail-business-live
"Tesco to make big changes to stores, affecting 2,100 jobs","Supermarket chain to reduce number of shop managers and close remaining counters and hot delis. Tesco has announced a shake-up of its shop management in large UK stores along with the closure of its remaining meat, fish and hot deli counters, affecting 2,100 jobs. -----------------------------1The UK’s biggest grocer said it had started introducing a new management structure in 350 of its smaller superstores over the past two years and was extending this structure across its larger superstores and Extra stores. -----------------------------2Tesco will cut the number of lead and team managers in large UK stores by 1,750, and introduce 1,800 new lower-paid “shift leader” roles, responsible for leading on the day-to-day operational duties on the shop floor. -----------------------------3Those affected will have the option of moving into shift leader roles, where Tesco currently has vacancies, or taking redundancy. Given the shift leader job is lower paid, staff who want to stay on at Tesco will be offered the choice of receiving a lump sum to make up for the discrepancy in salary, or can opt to receive the same pay as before for two years. -----------------------------4Most Tesco supermarkets no longer operate counters, and it will shut those offering meat and fish as well as hot delis from 26 February. -----------------------------5A further 350 roles will be affected by other changes: the closure of eight pharmacies in supermarkets; moving overnight roles to the daytime in 12 stores and reducing hours in some post offices. Some jobs will also go at Tesco’s head office in Welwyn Garden City and the group intends to shut its maintenance national operating centre in Milton Keynes. -----------------------------6Jason Tarry, the chief executive of Tesco UK and Ireland, said: “These are difficult decisions to make, but they are necessary to ensure we remain focused on delivering value for our customers wherever we can, as well as ensuring our store offer reflects what our customers value the most. Our priority is to support those colleagues impacted and help find alternative roles within our business from the vacancies and newly created roles we have available.” -----------------------------7Tesco did not pay a Christmas bonus to staff for the second year in a row and only handed out a box of Quality Street confectionery worth £5 to some staff. The company paid a 10% festive bonus in 2020 and in previous years gave out a shopping voucher. -----------------------------8after newsletter promotion -----------------------------9That was despite the chief executive, Ken Murphy, hailing “further strong growth at Christmas on top of the exceptional growth of the last few years”. The supermarket chain reported a 6.1% increase in like-for-like sales in the 19 weeks to 7 January, with revenues up 7.8% during the three-week Christmas period. Food sales climbed 12.9%. -----------------------------10Tesco stuck to previous guidance, predicting an adjusted operating profit of between £2.4bn and £2.5bn for the full year. -----------------------------11",https://www.theguardian.com/business/2023/jan/31/tesco-stores-jobs-supermarket-chain-managers,
"Asda plans to cut 300 jobs and reduce pay for 4,300 staff in shake-up","Supermarket to make sweeping changes affecting night shifts, Post Office outlets and pharmacies. More than 300 jobs at Asda are at risk and 4,300 staff will receive a pay cut after the supermarket announced a swathe of changes to night shifts, Post Office outlets and pharmacies to cut costs. -----------------------------1The supermarket chain said 211 night shift manager roles were going and a further 4,137 staff would lose out on premiums of at least £2.52 an hour for working nights as it switched the restocking of packaged groceries and frozen food to daytimes and evenings. -----------------------------2In addition, Asda planned to close seven of its 254 in-store pharmacies, putting 62 jobs at risk, including 14 pharmacists. -----------------------------3Twenty-three management roles were under threat and another 200 staff would have their working hours reduced as the retailer planned a 22% reduction in colleague hours across all 23 of its in-store Post Offices, with four reducing their opening hours by about 9%. Asda said the move was down to “a decline in the number of customers using this service”. -----------------------------4The shake-up comes as the big supermarkets look for ways to cut costs amid rising inflation on food, energy and labour as well as competition from fast-expanding discounters Aldi and Lidl. -----------------------------5Asda, the UK’s third biggest supermarket, has made a number of moves to cut costs, including reducing premiums for delivery drivers in the autumn. It has been singled out as the lowest payer for hourly paid staff among the big supermarket chains. -----------------------------6The group, which was bought out by the billionaire Issa brothers and the private equity firm TDR Capital for almost £7bn in 2020, is thought to be considering a merger with the siblings’ petrol forecourt empire EG Group to try to reduce its debt burden. -----------------------------7The retailer performed relatively well in the run-up to Christmas, according to the latest industry data from analysts at Kantar, which indicated sales rose by 6.4% in the 12 weeks to 25 December, a bigger increase than recorded at Tesco, Sainsbury’s and Morrisons but well behind Aldi and Lidl. -----------------------------8New own-label budget groceries and the introduction of takeaway food concessions are thought to have helped trade. -----------------------------9after newsletter promotion -----------------------------10Ken Towle, Asda’s retail director, said: “The retail sector is evolving at pace and it is vital we review changing customer preferences, along with our own ways of working, to ensure we are operating as efficiently as possible, so that we can continue to invest and grow our business. -----------------------------11“We are now entering a period of consultation with our colleagues on these proposals. We recognise this will be a difficult time for them and will do all we can to support them through this process.” -----------------------------12",https://www.theguardian.com/business/2023/jan/26/asda-plans-to-cut-300-jobs-reduce-pay-4300-staff-night-shift-post-office-pharmacies,
"Asda forcing 4,000 workers to lower paid roles with hundreds more jobs at risk","Asda has revealed a raft of changes to store operations and has confirmed that hundreds of other job roles at riskAsda has announced a huge shake-up of its business that will affect thousands of workers. The supermarket is to move more than 4,000 night workers to lower-paid daytime roles, while almost 300 roles across the company are under threat of being axed. The big four chain has proposed to move overnight restocking shifts at 184 of its smaller superstore sites over to the daytime, with staff restocking ambient products between 7pm and midnight, and frozen products between 7am and 1pm instead. The exact sites affected have not been confirmed by Asda.  This move puts around 211 night shift manager roles at risk, the supermarket said. The changes will also affect around 4,137 hourly-paid workers, who will be moved to daytime hours with less pay. Their shift patterns being moved to daytime means workers lose their night shift pay premium, of at least £2.52 per hour.   Asda has said however that the proposal ""retains the number of hours available"" for staff to work in each store. Alongside this news, Asda has also announced that it will shut seven in-store pharmacies, which employ 14 pharmacists and 48 other workers. It will also make a 22% cut to staff hours across all 23 in-store Post Office shops, and a reduction in opening hours for four sites. This would affect 23 salaried Post Office Managers and 200 hourly-paid staff. The supermarket said this decision was made due to a decline in the number of customers using this service. Ken Towle, retail director at Asda said: “The retail sector is evolving at pace and it is vital we review changing customer preferences, along with our own ways of working, to ensure we are operating as efficiently as possible, so that we can continue to invest and grow our business. ""We are now entering a period of consultation with our colleagues on these proposals. We recognise this will be a difficult time for them and will do all we can to support them through this process.”  Earlier this month, the supermarket had to defend itself over the wages it gives its staff after the GMB Union criticised it for falling even further behind its competitors on wages after Sainsbury's announced a pay boost.  The union said that Asda workers receive just £10.10 per hour, which was the lowest paid of the big four and one of the ""lowest paying retailers overall"".  However, Asda said during the last year it had provided two separate increases worth a total of 8% for hourly paid staff. Responding to the criticism, an Asda spokesperson said: ""We have increased retail colleague pay twice during the last 12 months and will confirm our new pay rates for 2023 to colleagues during Q1, following the outcome of negotiations with Usdaw where we have a pay bargaining agreement."" ",https://www.mirror.co.uk/money/breaking-asda-move-4000-workers-29055360,
GAP,GAP,GAP,
NOT COVERED,BY RIGHT,AND NOT COVERED BY CENTRE,
"Tesco to make big changes to stores, affecting 2,100 jobs","Supermarket chain to reduce number of shop managers and close remaining counters and hot delis. Tesco has announced a shake-up of its shop management in large UK stores along with the closure of its remaining meat, fish and hot deli counters, affecting 2,100 jobs. -----------------------------1The UK’s biggest grocer said it had started introducing a new management structure in 350 of its smaller superstores over the past two years and was extending this structure across its larger superstores and Extra stores. -----------------------------2Tesco will cut the number of lead and team managers in large UK stores by 1,750, and introduce 1,800 new lower-paid “shift leader” roles, responsible for leading on the day-to-day operational duties on the shop floor. -----------------------------3Those affected will have the option of moving into shift leader roles, where Tesco currently has vacancies, or taking redundancy. Given the shift leader job is lower paid, staff who want to stay on at Tesco will be offered the choice of receiving a lump sum to make up for the discrepancy in salary, or can opt to receive the same pay as before for two years. -----------------------------4Most Tesco supermarkets no longer operate counters, and it will shut those offering meat and fish as well as hot delis from 26 February. -----------------------------5A further 350 roles will be affected by other changes: the closure of eight pharmacies in supermarkets; moving overnight roles to the daytime in 12 stores and reducing hours in some post offices. Some jobs will also go at Tesco’s head office in Welwyn Garden City and the group intends to shut its maintenance national operating centre in Milton Keynes. -----------------------------6Jason Tarry, the chief executive of Tesco UK and Ireland, said: “These are difficult decisions to make, but they are necessary to ensure we remain focused on delivering value for our customers wherever we can, as well as ensuring our store offer reflects what our customers value the most. Our priority is to support those colleagues impacted and help find alternative roles within our business from the vacancies and newly created roles we have available.” -----------------------------7Tesco did not pay a Christmas bonus to staff for the second year in a row and only handed out a box of Quality Street confectionery worth £5 to some staff. The company paid a 10% festive bonus in 2020 and in previous years gave out a shopping voucher. -----------------------------8after newsletter promotion -----------------------------9That was despite the chief executive, Ken Murphy, hailing “further strong growth at Christmas on top of the exceptional growth of the last few years”. The supermarket chain reported a 6.1% increase in like-for-like sales in the 19 weeks to 7 January, with revenues up 7.8% during the three-week Christmas period. Food sales climbed 12.9%. -----------------------------10Tesco stuck to previous guidance, predicting an adjusted operating profit of between £2.4bn and £2.5bn for the full year. -----------------------------11",https://www.theguardian.com/business/2023/jan/31/tesco-stores-jobs-supermarket-chain-managers,
"Tesco announces huge change to all supermarkets with more than 2,000 jobs at risk","Tesco did not confirm the exact amount of deli and counter staff who will be affected by the closures at the end of next monthsTesco has announced a huge series of changes across its supermarkets that will impact around 2,100 jobs. The supermarket is to shake up its shop management roles and shut remaining counters and hot delis, on top of other measures. The counters and hot delis will close from February 26.  Tesco said all affected workers will be offered different roles within the company. However, it did not confirm the exact number of staff who work on the hot food delis and counters. Tesco also confirmed today that it will reduce the number of lead and team managers in its larger stores. The shake-up of its management structure will impact around 1,750 workers, while 350 workers will be affected by a series of localised changes. This include the closure of eight pharmacies and reduced hours at some in-store post offices.    Tesco will also remove a number of head office roles and will close the its Maintenance National Operating Centre in Milton Keynes. Again, workers will have the option to move into other vacancies across the business, the supermarket confirmed. Tesco said it will introduce around 1,800 new shift leader roles across its stores who will lead day-to-day operations. These roles will be lower paid, but managers who take the jobs will have their pay protected for two years. Jason Tarry, Tesco UK and ROI CEO said: “These are difficult decisions to make, but they are necessary to ensure we remain focused on delivering value for our customers wherever we can, as well as ensuring our store offer reflects what our customers value the most. ""Our priority is to support those colleagues impacted and help find alternative roles within our business from the vacancies and newly created roles we have available.”  Tesco first announced changes to its counters back in 2019, and says it has been reviewing them on an ""ongoing basis"" ever since. The majority of stores do not have fresh food counters as last year Tesco closed meat, fish and deli counters in more than 300 of its stores.  Reports from December 2022 said the store would axe a further 279 food counters at the beginning of this year.  In its release, the supermarket said it would continue to work with third parties to offer a counter experience in-store where it can.  ",https://www.mirror.co.uk/money/breaking-tesco-axe-food-counters-29092195,
"Asda plans to cut 300 jobs and reduce pay for 4,300 staff in shake-up","Supermarket to make sweeping changes affecting night shifts, Post Office outlets and pharmacies. More than 300 jobs at Asda are at risk and 4,300 staff will receive a pay cut after the supermarket announced a swathe of changes to night shifts, Post Office outlets and pharmacies to cut costs. -----------------------------1The supermarket chain said 211 night shift manager roles were going and a further 4,137 staff would lose out on premiums of at least £2.52 an hour for working nights as it switched the restocking of packaged groceries and frozen food to daytimes and evenings. -----------------------------2In addition, Asda planned to close seven of its 254 in-store pharmacies, putting 62 jobs at risk, including 14 pharmacists. -----------------------------3Twenty-three management roles were under threat and another 200 staff would have their working hours reduced as the retailer planned a 22% reduction in colleague hours across all 23 of its in-store Post Offices, with four reducing their opening hours by about 9%. Asda said the move was down to “a decline in the number of customers using this service”. -----------------------------4The shake-up comes as the big supermarkets look for ways to cut costs amid rising inflation on food, energy and labour as well as competition from fast-expanding discounters Aldi and Lidl. -----------------------------5Asda, the UK’s third biggest supermarket, has made a number of moves to cut costs, including reducing premiums for delivery drivers in the autumn. It has been singled out as the lowest payer for hourly paid staff among the big supermarket chains. -----------------------------6The group, which was bought out by the billionaire Issa brothers and the private equity firm TDR Capital for almost £7bn in 2020, is thought to be considering a merger with the siblings’ petrol forecourt empire EG Group to try to reduce its debt burden. -----------------------------7The retailer performed relatively well in the run-up to Christmas, according to the latest industry data from analysts at Kantar, which indicated sales rose by 6.4% in the 12 weeks to 25 December, a bigger increase than recorded at Tesco, Sainsbury’s and Morrisons but well behind Aldi and Lidl. -----------------------------8New own-label budget groceries and the introduction of takeaway food concessions are thought to have helped trade. -----------------------------9after newsletter promotion -----------------------------10Ken Towle, Asda’s retail director, said: “The retail sector is evolving at pace and it is vital we review changing customer preferences, along with our own ways of working, to ensure we are operating as efficiently as possible, so that we can continue to invest and grow our business. -----------------------------11“We are now entering a period of consultation with our colleagues on these proposals. We recognise this will be a difficult time for them and will do all we can to support them through this process.” -----------------------------12",https://www.theguardian.com/business/2023/jan/26/asda-plans-to-cut-300-jobs-reduce-pay-4300-staff-night-shift-post-office-pharmacies,
Aldi increases pay for UK warehouse workers for third time in a year,"Supermarket’s rise to £13.18 on 1 February puts its hourly minimum rate 20% ahead of January 2022. Aldi is increasing pay for UK warehouse workers for the third time in a year – with its hourly minimum rate now 20% above last January. -----------------------------1The German-owned discounter, which is the UK’s fourth-largest supermarket chain, said pay would rise to £13.18 on 1 February, up 4% on the current minimum of £12.66, which was introduced in September. -----------------------------2The latest increase for warehouse workers comes after Aldi upped pay for store staff last month to at least £11 an hour – also the third increase in a year. -----------------------------3The new minimum wage for warehouse workers is higher than the independently verified living wage, which was raised to at least £10.90 in September. -----------------------------4The increases come amid rising competition to hire staff amid high employment levels and soaring household costs, which have led to strikes by nurses, railway and postal workers, and many others trying to protect their standard of living. -----------------------------5Several retail chains, including Tesco and Sainsbury’s, have put up pay multiple times over the past 12 months in an effort to retain and attract staff. -----------------------------6Warehouse workers have been in particularly short supply since Brexit, which reduced access to labour from across Europe. -----------------------------7Aldi needs to attract more staff as it is opening about one new store a week and is vying with its fellow German-owned discounter Lidl to be the UK’s fastest-growing grocery chain. -----------------------------8The chain’s sales rose 27% in the three months to Christmas Day, according to the latest figures from the market research group Kantar as shoppers sought ways to limit their spending over the festive period. -----------------------------9after newsletter promotion -----------------------------10Giles Hurley, the chief executive of Aldi UK and Ireland, said: “Just as we promise our customers that we will do all we can to support them, we are equally committed to supporting our amazing Aldi colleagues – as we remain the highest-paying supermarket in the UK. -----------------------------11“This announcement recognises the hard work and contribution our colleagues make in serving communities across the country and it’s down to them that we are able to ensure our customers can access fresh affordable food, every single day.” -----------------------------12",https://www.theguardian.com/business/2023/jan/18/aldi-increases-pay-for-uk-warehouse-workers-for-third-time-in-a-year,
GAP,GAP,GAP,
NOT COVERED,BY RIGHT,AND NOT COVERED BY CENTRE,
JD Sports hit by cyber-attack that leaked 10m customers’ data,"Retail group says incident affected shoppers at JD, Size?, Millets, Blacks, Scotts and Millets Sport brands. The fashion retailer JD Sports said the personal and financial information of 10 million customers was potentially accessed by hackers in a cyber-attack. -----------------------------1The company said incident, which affected some online orders made by customers between November 2018 and October 2020, targeted purchases of products of its JD, Size?, Millets, Blacks, Scotts and Millets Sport brands. -----------------------------2The retailer, which has notified the Information Commissioner’s Office about the security breach, said it was contacting affected customers warning them to be aware of potential scams. -----------------------------3“We want to apologise to those customers who may have been affected by this incident,” said Neil Greenhalgh, the JD Sports chief financial officer . “We are advising them to be vigilant about potential scam emails, calls and texts and providing details on how to report these.” -----------------------------4The company said information that may have been accessed by hackers included names, billing and delivery addresses, phone numbers, order details and the final four digits of payment cards of “approximately 10 million unique customers”. -----------------------------5However, JD Sports said the “affected data is limited” as it did not hold full payment data and the company “has no reason to believe that account passwords were accessed”. -----------------------------6JD Sports said it had taken the “necessary immediate steps” to investigate and respond to the incident, including working with cybersecurity experts, and to be aware of potential fraud and phishing attacks and “be on the lookout for any suspicious or unusual communications purporting to be from JD Sports or any of our group brands”. -----------------------------7“We are continuing with a full review of our cybersecurity in partnership with external specialists following this incident,” said Greenhalgh. “Protecting the data of our customers is an absolute priority for JD.” -----------------------------8after newsletter promotion -----------------------------9This month Royal Mail revealed it had been hit by a ransomware attack by a criminal group, which threatened to publish the stolen information online, and said it could not process international parcel and letter deliveries. -----------------------------10",https://www.theguardian.com/business/2023/jan/30/jd-sports-cyber-attack-customers-data-jd-size-millets-blacks,
JD Sports warns 10million customers may have had data stolen after cyber attack,"Despite the hack, JD group has said payment card details were ""safe"", and that it has no reason to think the hackers have accessed users' passwordsJD Sports has warned that around 10 million people might have had their personal data stolen after it was hit by a cyber attack.  The sports retailer said the affected brands from the group are JD, Size?, Millets, Blacks, Scotts and Millet Sport. However, even with the attack the JD group has said payment card details were ""safe"" and that it has no reason to think the hackers have accessed users' passwords. But information that could have been stolen includes addresses, phone numbers and email addresses. The group announced today that the hackers had accessed a system that contained customer data relating to some online orders placed between November 2018 and October 2020.   The JD group said the intruders could have also gained access to billing, details of orders that customers have placed, and the final four digits of their payment cards in the attack.  Neil Greenhalgh, the chief financial officer of JD group apologised for the incident and said that protecting the data for its customers was an ""absolutely priority"" for the group.  He said: ""We want to apologise to those customers who may have been affected by this incident. ""We are advising them to be vigilant about potential scam emails, calls and texts and providing details on how to report these.  ""We are continuing with a full review of our cyber security in partnership with external specialists following this incident.""  The business said that it would proactively contact customers whose data might have been taken in the breach. JD Sports said it was taking the ""necessary immediate steps"" to investigate and respond to the incident, including the UK's Information Commissioner's Office (ICO), as necessary. In a statement, it said: ""We are engaging with the relevant authorities and we are proactively contacting affected customers so that we can advise them to be vigilant to the risk of fraud and phishing attacks. ""This includes being on the lookout for any suspicious or unusual communications purporting to be from JD Sports or any of our group brands."" It is the latest in a series of recent high-profile cyber attacks on British companies.  Within the last two weeks, Royal Mail had to halt deliveries overseas due to a ransomware attack, however, it was able to resume international signed deliveries for business customers last Thursday. A ransomware is malicious computer software that encrypts data and locks up systems and criminals usually demand a large payment to release the data. ",https://www.mirror.co.uk/money/jd-sports-warns-10-million-29084522,
GAP,GAP,GAP,
NOT COVERED,BY RIGHT,AND NOT COVERED BY CENTRE,
NatWest to shut 23 more bank branches this year - see full list of closures,"The closures, which are scheduled to take place from April to June, are down to more people banking online and come on top of 43 NatWest branches already earmarked to close this yearNatWest is to shut 23 more bank branches this year in another blow for the high street. The closures, which are scheduled to take place from April to June, are down to more people banking online. It comes on top of the 43 banks NatWest already had scheduled to shut this year, including 13 that have already closed this month. If your local bank is shutting and you need face-to-face support, NatWest runs mobile branches at various locations throughout the year. These can be used for basic services, like making deposits, paying bills and withdrawing cash.   NatWest also works with other UK banks to open shared banking hubs on a set day each week, where again you can use basic services. You can find your nearest mobile branch or banking hub on the NatWest website. You can also access certain facilities at Post Office branches including cash and cheque deposits, checking your balance and withdrawing cash. A NatWest spokesperson said: “As with many industries, most of our customers are shifting to mobile and online banking, because it’s faster and easier for people to manage their financial lives.  “We understand and recognise that digital solutions aren’t right for everyone or every situation, and that when we close branches we have to make sure that no one is left behind. “We take our responsibility seriously to support the people who face challenges in moving online, so we are investing to provide them with support and alternatives that work for them.” The update from NatWest comes just days after Lloyds and Halifax announced they will shut another 40 banks this year. This is on top of the 14 that had already been earmarked for closure. TSB is shutting nine bank branches and HSBC has said it will shutter 114 banks - around a quarter of its total sites - in 2023. Full list of NatWest bank closures  Southampton, 416 Bitterne Road - April 25, 2023 Blackpool, 344 Lytham Road - April 25, 2023 London, 145 Clapham High Street - April 26, 2023 Stroud, Bank Buildings - April 26, 2023 Fleet, 176 Fleet Road - April 27, 2023 Heslington, Main Street - April 27, 2023 Horwich, 27 Lee Lane - TBC Dunstable, 4 High Street North - May 3, 2023 Maidstone, 197 Sutton Road - May 4, 2023 Exeter, 18 St. Thomas Centre - May 9, 2023 Bootle, 329 Stanley Road - May 10, 2023 Crawley, Gatwick Road - May 11, 2023 Frome, 4 Market Place - May 11, 2023 Broadwater, 5 Broadwater Street East - May 16, 2023 Colwyn Bay, 2 Abergele Road - May 17, 2023 Ilminster, 10 East Street - May 18, 2023 London, 10 Marylebone High Street - May 23, 2023 Sheerness, 29 High Street - May 24, 2023 Shoreham-by-Sea, 21 East Street - TBC Llansamlet, Phoenix Way - May 25, 2023 Cranbrook, High Street - May 30, 2023 Torquay, 128 Newton Road - May 31, 2023 Birstall, 659 Loughborough Road - June 1, 2023  ",https://www.mirror.co.uk/money/breaking-natwest-shut-23-more-29054240,
